Codigo;Producto;CantVend;CantComp;Diferencia
AAA000362;Acrílico Ad 60ml Wengué;3;0;-3
AAA000366;Acrílico Ad Metalizado 200ml Oro Imperio;3;0;-3
AAA000367;Acrílico Ad Metalizado 200ml Oro Rico;3;0;-3
AAA000371;Acrílico Ad Metalizado 200ml Plata;2;0;-2
AAA000391;Acrílico Eterna 50ml Azul Uniforme;2;0;-2
AAA000426;Acrílico Eterna 50ml Negro;12;0;-12
AAA000468;Acrílico Fluo Ad 60ml Amarillo;10;0;-10
AAA000469;Acrílico Fluo Ad 60ml Azul;5;0;-5
AAA000470;Acrílico Fluo Ad 60ml Naranja;6;0;-6
AAA000471;Acrílico Fluo Ad 60ml Rojo;12;0;-12
AAA000472;Acrílico Fluo Ad 60ml Rosa;16;0;-16
AAA000473;Acrílico Fluo Ad 60ml Verde;9;0;-9
AAA000474;Acrílico Fluo Plantec 50ml Amarillo;2;0;-2
AAA000476;Acrílico Fluo Plantec 50ml Naranja;1;0;-1
AAA000477;Acrílico Fluo Plantec 50ml Verde;1;0;-1
AAA000495;Acrílico Metalizado Plantec 50ml Cobre;1;0;-1
AAA000496;Acrílico Metalizado Plantec 50ml Luz de Luna;1;0;-1
AAA000499;Acrílico Metalizado Plantec 50ml Oro Negro;3;0;-3
AAA000500;Acrílico Metalizado Plantec 50ml Peltre Perlado;3;0;-3
AAA000502;Acrílico Metalizado Plantec 50ml Rojo;4;0;-4
AAA000503;Acrílico Metalizado Plantec 50ml Verde Perlado;1;0;-1
AAA000504;Acrílico Metalizado Plantec 50ml Violeta;2;0;-2
AAA000518;Acrilico Plantec 200ml  Piel;1;0;-1
AAA000521;Acrílico Plantec 200ml Amarillo Medio;1;0;-1
AAA000543;Acrílico Plantec 200ml Marrón;1;0;-1
AAA000554;Acrílico Plantec 200ml Siena Natural;2;0;-2
AAA000558;Acrilico Plantec 200ml Verde Agua;1;0;-1
AAA000563;Acrílico Plantec 200ml Verde Medio;2;0;-2
AAA000568;Acrílico Plantec 50ml Amarillo Arena;5;0;-5
AAA000572;Acrílico Plantec 50ml Amarillo Pastel;3;0;-3
AAA000573;Acrílico Plantec 50ml Azul Agrisado;1;0;-1
AAA000583;Acrílico Plantec 50ml Gris Plata;1;0;-1
AAA000584;Acrílico Plantec 50ml Gris Plomo;1;0;-1
AAA000585;Acrilico Plantec 50ml Habano;1;0;-1
AAA000586;Acrílico Plantec 50ml Ladrillo;4;0;-4
AAA000587;Acrílico Plantec 50ml Lavanda;3;0;-3
AAA000589;Acrílico Plantec 50ml Lila Pastel;1;0;-1
AAA000591;Acrílico Plantec 50ml Manteca;2;0;-2
AAA000598;Acrílico Plantec 50ml Rojo Cereza;1;0;-1
AAA000600;Acrílico Plantec 50ml Rojo Oxido;2;0;-2
AAA000602;Acrílico Plantec 50ml Rosa Antiguo;2;0;-2
AAA000603;Acrílico Plantec 50ml Salmon;2;0;-2
AAA000604;Acrílico Plantec 50ml Siena Natural;2;0;-2
AAA000605;Acrílico Plantec 50ml Siena Tostada;2;0;-2
AAA000607;Acrílico Plantec 50ml Turquesa;1;0;-1
AAA000610;Acrílico Plantec 50ml Verde Inglés;2;0;-2
AAA000614;Acrílico Plantec 50ml Verde Musgo;1;0;-1
AAA000615;Acrílico Plantec 50ml Verde Petróleo;1;0;-1
AAA000616;Acrílico Plantec 50ml Violeta ;4;0;-4
AAA000617;Acrílico Plantec 50ml Violeta Profundo;1;0;-1
AAA000619;Acrílico Plantec Fluo 200ml Fucsia;1;0;-1
AAA000622;Actron 400 Bayer ;20;0;-20
AAA000623;Actron 600 Bayer;4;0;-4
AAA000624;Acuarela Filgo;60;0;-60
AAA000625;Acuarelas Glitter Vinci FunPro  ;1;0;-1
AAA000638;Adhesivo c/glitter Color Peps Maped 50 ml. Azul;40;0;-40
AAA000639;Adhesivo c/glitter Color Peps Maped 50 ml. Dorado;53;0;-53
AAA000640;Adhesivo c/glitter Color Peps Maped 50 ml. Iridiscente;46;0;-46
AAA000641;Adhesivo c/glitter Color Peps Maped 50 ml. Plateado;32;0;-32
AAA000642;Adhesivo c/glitter Color Peps Maped 50 ml. Rojo;67;0;-67
AAA000643;Adhesivo c/glitter Color Peps Maped 50 ml. Verde;49;0;-49
AAA000644;Adhesivo c/glitter Color Peps Maped Fluo 50 ml. Amarillo;1;0;-1
AAA000645;Adhesivo c/glitter Color Peps Maped Fluo 50 ml. Celeste;1;0;-1
AAA000647;Adhesivo c/glitter Color Peps Maped 50 ml. Naranja;2;0;-2
AAA000650;Adhesivo Color Fluo Maxxum x30g. Amarillo ;1;0;-1
AAA000652;Adhesivo Color Fluo Maxxum x30g. Naranja ;7;0;-7
AAA000653;Adhesivo Color Fluo Maxxum x30g.;4;0;-4
AAA000655;Adhesivo Color Fluo Maxxum x30g. Verde ;1;0;-1
AAA000656;Adhesivo Color Flúo Señorita 30g. Amarillo;5;0;-5
AAA000657;Adhesivo Color Flúo Señorita 30g. Naranja;8;0;-8
AAA000658;Adhesivo Color Flúo Señorita 30g. Verde;4;0;-4
AAA000659;Adhesivo Color Flúo Señorita 30g. Verde;11;0;-11
AAA000664;Adhesivo Color Plásticola 40 grs. Blanco;2;0;-2
AAA000668;Adhesivo Color Señorita x 250g. Amarillo;21;0;-21
AAA000670;Adhesivo Color Señorita x 250g. Azul;18;0;-18
AAA000672;Adhesivo Color Señorita x 250g. Celeste ;3;0;-3
AAA000674;Adhesivo Color Señorita x 250g. Naranja;51;0;-51
AAA000675;Adhesivo Color Señorita x 250g. Naranja Fluo;1;0;-1
AAA000676;Adhesivo Color Señorita x 250g. Negro;2;0;-2
AAA000677;Adhesivo Color Señorita x 250g. Rojo;20;0;-20
AAA000678;Adhesivo Color Señorita x 250g. Rosa;24;0;-24
AAA000679;Adhesivo Color Señorita x 250g. Rosa Fluo;1;0;-1
AAA000680;Adhesivo Color Señorita x 250g. Verde;36;0;-36
AAA000681;Adhesivo Color Señorita x 250g. Violeta;1;0;-1
AAA000682;Adhesivo Color Tintoretto x 250g. Amarillo;2;0;-2
AAA000683;Adhesivo Color Tintoretto x 250g. Azul;2;0;-2
AAA000689;Adhesivo Color Tintoretto x 250g. Naranja;1;0;-1
AAA000691;Adhesivo Color Tintoretto x 250g. Rojo;2;0;-2
AAA000695;Adhesivo Color Tintoretto x30g. Amarillo ;24;0;-24
AAA000700;Adhesivo Color Tintoretto x30g. Naranja ;22;0;-22
AAA000705;Adhesivo Color Tintoretto x30g. Verde Pradera;2;0;-2
AAA000707;Adhesivo de Contacto Poxi-ran 23g.;21;0;-21
AAA000714;Adhesivo Glitter Plasticola 38 grs. Iridiscente;14;0;-14
AAA000715;Adhesivo Glitter Plasticola 38 grs. Azul;15;0;-15
AAA000716;Adhesivo Glitter Plasticola 38 grs. Celeste;4;0;-4
AAA000718;Adhesivo Glitter Plasticola 38 grs. Naranja;11;0;-11
AAA000720;Adhesivo Glitter Plasticola 38 grs. Oro;16;0;-16
AAA000721;Adhesivo Glitter Plasticola 38 grs. Plata;23;0;-23
AAA000722;Adhesivo Glitter Plasticola 38 grs. Rojo;10;0;-10
AAA000723;Adhesivo Glitter Plasticola 38 grs. Verde ;25;0;-25
AAA000724;Adhesivo Glitter Plasticola 38 grs. Violeta;8;0;-8
AAA000725;Adhesivo Instantáneo La Gotita 2ml;117;0;-117
AAA000726;Adhesivo Instantáneo La Gotita Gel 3g.;33;0;-33
AAA000727;Adhesivo p/zapatillas Éccole 9g.;56;0;-56
AAA000728;Adhesivo Poxipol Transparente 21g.;6;0;-6
AAA000730;Adhesivo Vinílico Model 100grs.;31;0;-31
AAA000731;Adhesivo Vinílico Model 250grs.;63;0;-63
AAA000732;Adhesivo Vinílico Plasticola 40 grs.;1;0;-1
AAA000733;Adhesivo Vinílico Tintoretto 1000g.;3;0;-3
AAA000734;Adhesivo Vinílico Tintoretto 100g.;197;0;-197
AAA000735;Adhesivo Vinílico Tintoretto 250g.;301;0;-301
AAA000736;Adhesivo Vinílico Tintoretto 30g.;441;0;-441
AAA000737;Adhesivo Vinílico Tintoretto 500g.;91;0;-91
AAA000738;Adhesivo Vinílico Tintoretto 50g.;261;0;-261
AAA000739;Adhesivo Volibarra 10g.;39;0;-39
AAA000740;Adhesivo Volibarra 22g.;7;0;-7
AAA000741;Adhesivo Voligoma 30 ml.;643;0;-643
AAA000742;Adhesivo Voligoma 50 ml.;199;0;-199
AAA000743;Afiche Color Mil28 Amarillo;311;0;-311
AAA000744;Afiche Color Mil28 Amarillo Pastel;65;0;-65
AAA000745;Afiche Color Mil28 Azul;37;0;-37
AAA000746;Afiche Color Mil28 Azul Francia;157;0;-157
AAA000747;Afiche Color Mil28 Blanco;496;0;-496
AAA000749;Afiche Color Mil28 Celeste;220;0;-220
AAA000750;Afiche Color Mil28 Celeste Pastel;59;0;-59
AAA000751;Afiche Color Mil28 Gris;8;0;-8
AAA000752;Afiche Color Mil28 Fucsia;117;0;-117
AAA000753;Afiche Color Mil28 Lila;76;0;-76
AAA000754;Afiche Color Mil28 Marrón;59;0;-59
AAA000755;Afiche Color Mil28 Naranja;150;0;-150
AAA000756;Afiche Color Mil28 Negro;240;0;-240
AAA000757;Afiche Color Mil28 Piel;68;0;-68
AAA000758;Afiche Color Mil28 Rojo;262;0;-262
AAA000759;Afiche Color Mil28 Rosa;197;0;-197
AAA000760;Afiche Color Mil28 Rosa Pastel;32;0;-32
AAA000761;Afiche Color Mil28 Salmon;6;0;-6
AAA000762;Afiche Color Mil28 Turquesa;82;0;-82
AAA000763;Afiche Color Mil28 Verde Claro;7;0;-7
AAA000764;Afiche Color Mil28 Verde Medio;76;0;-76
AAA000765;Afiche Color Mil28 Verde Oscuro;44;0;-44
AAA000766;Afiche Color Mil28 Verde Manzana;219;0;-219
AAA000767;Afiche Color Mil28 Violeta;51;0;-51
AAA000768;Afiche Fluo Luma Amarillo;1;0;-1
AAA000769;Afiche Flúo Luma Rosado;4;0;-4
AAA000770;Afiche Flúo Luma Naranja;8;0;-8
AAA000772;Afiche Flúo Luma Verde ;1;0;-1
AAA000774;Aguja Bordado Chino CBX ;8;0;-8
AAA000775;Aguja Canastita China;152;0;-152
AAA000776;Aguja Crochet P. T. N° 3;9;0;-9
AAA000777;Aguja Crochet P. T. N° 5;7;0;-7
AAA000778;Aguja Crochet P. T. N° 7;2;0;-2
AAA000779;Aguja Crochet PVC Nº 12;16;0;-16
AAA000780;Aguja Crochet PVC Nº 14;4;0;-4
AAA000781;Aguja Crochet PVC Nº 16;3;0;-3
AAA000782;Aguja Crochet PVC Nº 18;3;0;-3
AAA000784;Aguja Crochet Silver Dorada N° 5;6;0;-6
AAA000785;Aguja Crochet Silver Dorada N° 6;3;0;-3
AAA000786;Aguja Crochet Silver Dorada N° 7;8;0;-8
AAA000787;Aguja Crochet Silver N° 0;34;0;-34
AAA000788;Aguja Crochet Silver N° 000;19;0;-19
AAA000789;Aguja Crochet Silver N° 0000;13;0;-13
AAA000790;Aguja Crochet Silver N° 00000;15;0;-15
AAA000791;Aguja Crochet Silver N° 1;32;0;-32
AAA000792;Aguja Crochet Silver N° 10;6;0;-6
AAA000793;Aguja Crochet Silver N° 11;2;0;-2
AAA000794;Aguja Crochet Silver N° 12;4;0;-4
AAA000795;Aguja Crochet Silver N° 2;22;0;-22
AAA000796;Aguja Crochet Silver N° 3;12;0;-12
AAA000797;Aguja Crochet Silver N° 4;19;0;-19
AAA000798;Aguja Crochet Silver N° 5;13;0;-13
AAA000799;Aguja Crochet Silver N° 6;6;0;-6
AAA000800;Aguja Crochet Silver N° 7;9;0;-9
AAA000801;Aguja Crochet Silver N° 8;5;0;-5
AAA000802;Aguja Crochet Silver N° 9;4;0;-4
AAA000803;Aguja Industrial Overlook Orange N° 11;11;0;-11
AAA000804;Aguja Industrial Overlook Triumph N° 11;24;0;-24
AAA000805;Aguja Industrial Overlook Triumph N° 12;39;0;-39
AAA000806;Aguja Industrial Overlook Triumph N° 14;68;0;-68
AAA000807;Aguja Industrial Overlook Triumph N° 16;22;0;-22
AAA000808;Aguja Industrial Overlook Triumph N° 18;6;0;-6
AAA000809;Aguja Industrial Overlook Triumph N° 9;24;0;-24
AAA000810;Aguja p/Bordar c/Cinta CBX;1;0;-1
AAA000811;Aguja p/ciego CBX;67;0;-67
AAA000812;Aguja p/Lana N° 14 Diaria;10;0;-10
AAA000813;Aguja p/mano Punta Dorada CBX N° 10 paquete;35;0;-35
AAA000814;Aguja p/mano Punta Dorada CBX N° 5;779,1;0;-779,1
AAA000815;Aguja p/mano Punta Dorada CBX N° 6;176;0;-176
AAA000816;Aguja p/mano Punta Dorada CBX N° 7;158;0;-158
AAA000817;Aguja p/mano Punta Dorada CBX N° 9;73;0;-73
AAA000820;Aguja p/máquina Regal Punta Bolita N° 11;30;0;-30
AAA000821;Aguja p/máquina Regal Punta Bolita N° 14;23;0;-23
AAA000822;Aguja p/máquina Regal Punta Bolita N° 16;47;0;-47
AAA000823;Aguja p/máquina Regal Punta Bolita N° 18;43;0;-43
AAA000824;Aguja p/máquina Regal Punta Bolita N° 9;31;0;-31
AAA000825;Aguja p/máquina Singer Común N° 11;276;0;-276
AAA000826;Aguja p/máquina Singer Común N° 14;796;0;-796
AAA000827;Aguja p/máquina Singer Común N° 16;265;0;-265
AAA000828;Aguja p/máquina Singer Común N° 18 ;170;0;-170
AAA000829;Aguja p/máquina Singer Común N° 21;105;0;-105
AAA000830;Aguja p/máquina Singer Común N° 9;147;0;-147
AAA000831;Aguja p/máquina Singer Punta Bolita N° 11;96;0;-96
AAA000832;Aguja p/máquina Singer Punta Bolita N° 14;438;0;-438
AAA000833;Aguja p/máquina Singer Punta Bolita N° 16;134;0;-134
AAA000834;Aguja p/máquina Singer Punta Bolita N° 18;63;0;-63
AAA000835;Aguja p/máquina Singer Punta Bolita N° 21;26;0;-26
AAA000836;Aguja p/máquina Singer Punta Bolita N° 9;163;0;-163
AAA000837;Aguja Singer Doble Punta N° 14 ;19;0;-19
AAA000838;Aguja Tejer CBX N° 3;5;0;-5
